POS_ID	ORG_ID	POS_NAME	POS_SALARY	POS_IS_GROUP	POS_PARENT_ID
1	0	'Дизайнер'	20000	0	NULL
2	0	'Программист'	20000	0	NULL
3	0	'Маркетолог'	18000	0	NULL
4	1	'Тестировщик'	25000	1	NULL
5	1	'Системный администратор'	20000	0	NULL
6	1	'Менеджер проекта'	25800	0	NULL
7	2	'Менеджер по работе с персоналом'	17600	1	NULL
8	2	'Бухгалтер'	21500	0	NULL
9	2	'Директор'	50000	0	NULL
10	3	'Дизайнер по персонажам'	22000	1	NULL
11	3	'Дазайнер ландшафтов'	35000	0	NULL
12	3	'Разработчик'	20000	0	NULL
13	4	'Разработчик сюжета'	32000	0	NULL
14	4	'Разработчик навыков'	32000	0	NULL
15	4	'Аналитик'	25000	0	NULL
16	1	'SEO-специалист'	20000	0	4
17	2	'SMM-специалист'	20000	0	7
18	3	'Специалист по рекламе'	18000	0	10